#Time (s);Angle (degrees)
5.29137;161.15544
5.29597;160.30944
5.30067;159.46578
5.30546;158.62446
5.31035;157.78584
5.31536;156.95019
5.32049;156.11769
5.32574;155.2887
5.33113;154.46358
5.33667;153.64278
5.34236;152.82666
5.34823;152.01594
5.35428;151.21125
5.36055;150.41349
5.36703;149.62365
5.37377;148.84281
5.38078;148.07268
5.3881;147.31497
5.39577;146.57211
5.40383;145.84725
5.41234;145.14444
5.42137;144.46908
5.431;143.82864
5.44132;143.23329
5.45244;142.69743
5.46446;142.24122
5.47745;141.89202
5.49136;141.68376
5.50592;141.64938
5.5206;141.80481
5.53476;142.13556
5.54799;142.605
5.56017;143.17416
5.57136;143.81271
5.58168;144.50013
5.59126;145.22265
5.60021;145.97127
5.60863;146.73987
5.61658;147.52395
5.62414;148.32063
5.63134;149.12739
5.63824;149.9427
5.64486;150.76503
